"","source","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"1","AERO",2030,"at or below zero",0.669045701431895,0.669045701431895
"2","AERO",2030,"above zero",0.204232547738841,0.873278249170736
"3","AERO",2035,"at or below zero",16.6700245741764,16.6700245741764
"4","AERO",2035,"above zero",5.99191482203935,22.6619393962158
"5","AERO",2040,"at or below zero",20.2257567243534,20.2257567243534
"6","AERO",2040,"above zero",7.45400426766835,27.6797609920218
"7","AERO",2045,"at or below zero",24.0658923269986,24.0658923269986
"8","AERO",2045,"above zero",9.78734517243504,33.8532374994337
"9","AERO",2050,"at or below zero",29.1117133933682,29.1117133933682
"10","AERO",2050,"above zero",12.7199276994643,41.8316410928326
"11","AERO",2055,"at or below zero",29.185452683876,29.185452683876
"12","AERO",2055,"above zero",12.7236516816357,41.9091043655117
"13","AERO",2060,"at or below zero",29.255573138027,29.255573138027
"14","AERO",2060,"above zero",12.7271910310548,41.9827641690819
"15","AERO",2065,"at or below zero",29.3222593696606,29.3222593696606
"16","AERO",2065,"above zero",12.730557950786,42.0528173204466
"17","AERO",2070,"at or below zero",29.3856773124103,29.3856773124103
"18","AERO",2070,"above zero",12.7337598579495,42.1194371703597
"19","AERO",2075,"at or below zero",29.4459871449503,29.4459871449503
"20","AERO",2075,"above zero",12.7368048398026,42.1827919847529
"21","AERO",2080,"at or below zero",29.503341195607,29.503341195607
"22","AERO",2080,"above zero",12.7397005872471,42.2430417828542
"23","AL",2020,"at or below zero",0.825926915412633,0.825926915412633
"24","AL",2020,"above zero",4.73421008153747,5.5601369969501
"25","AL",2025,"at or below zero",0.934046848303228,0.934046848303228
"26","AL",2025,"above zero",6.62753017650545,7.56157702480867
"27","AL",2030,"at or below zero",1.10004277428428,1.10004277428428
"28","AL",2030,"above zero",9.18561728943785,10.2856600637221
"29","AL",2035,"at or below zero",1.20174193684051,1.20174193684051
"30","AL",2035,"above zero",11.3644892386374,12.5662311754779
"31","AL",2040,"at or below zero",1.31613165648537,1.31613165648537
"32","AL",2040,"above zero",13.8379616100593,15.1540932665447
"33","AL",2045,"at or below zero",1.4448794560446,1.4448794560446
"34","AL",2045,"above zero",16.6446942208728,18.0895736769174
"35","AL",2050,"at or below zero",1.59168346252766,1.59168346252766
"36","AL",2050,"above zero",19.833721807509,21.4254052700366
"37","AL",2055,"at or below zero",1.64457189469751,1.64457189469751
"38","AL",2055,"above zero",21.3464320903261,22.9910039850236
"39","AL",2060,"at or below zero",1.69486804682761,1.69486804682761
"40","AL",2060,"above zero",22.784999793299,24.4798678401266
"41","AL",2065,"at or below zero",1.74269929458964,1.74269929458964
"42","AL",2065,"above zero",24.153065667777,25.8957649623666
"43","AL",2070,"at or below zero",1.78818633528566,1.78818633528566
"44","AL",2070,"above zero",25.454082702014,27.2422690372997
"45","AL",2075,"at or below zero",1.83144405838697,1.83144405838697
"46","AL",2075,"above zero",26.6913369563238,28.5227810147108
"47","AL",2080,"at or below zero",1.87258172263765,1.87258172263765
"48","AL",2080,"above zero",27.867953441369,29.7405351640066
"49","COL",2020,"at or below zero",93.4334655368155,93.4334655368155
"50","COL",2020,"above zero",453.507147812019,546.940613348835
"51","COL",2025,"at or below zero",88.8748485038095,88.8748485038095
"52","COL",2025,"above zero",452.859585800737,541.734434304547
"53","COL",2030,"at or below zero",83.9930154148725,83.9930154148725
"54","COL",2030,"above zero",440.069543271273,524.062558686146
"55","COL",2035,"at or below zero",83.6346878772723,83.6346878772723
"56","COL",2035,"above zero",455.364618265719,538.999306142992
"57","COL",2040,"at or below zero",82.5228194336091,82.5228194336091
"58","COL",2040,"above zero",459.755556311933,542.278375745542
"59","COL",2045,"at or below zero",78.9010448626589,78.9010448626589
"60","COL",2045,"above zero",473.109082543372,552.010127406031
"61","COL",2050,"at or below zero",78.0608548191977,78.0608548191977
"62","COL",2050,"above zero",483.283785305095,561.344640124293
"63","COL",2055,"above zero",557.241553262924,557.241553262924
"64","COL",2060,"at or below zero",76.6614477942353,76.6614477942353
"65","COL",2060,"above zero",490.535215982185,567.196663776421
"66","COL",2065,"above zero",563.224969475287,563.224969475287
"67","COL",2070,"at or below zero",72.5544588390467,72.5544588390467
"68","COL",2070,"above zero",500.207162333481,572.761621172527
"69","COL",2075,"above zero",568.905401267407,568.905401267407
"70","COL",2080,"at or below zero",69.0904099604801,69.0904099604801
"71","COL",2080,"above zero",508.943454756418,578.033864716898
"72","CROP",2020,"at or below zero",321.615463265789,321.615463265789
"73","CROP",2020,"above zero",167.568987147672,489.184450413461
"74","CROP",2025,"at or below zero",330.84763343466,330.84763343466
"75","CROP",2025,"above zero",172.3595917161,503.20722515076
"76","CROP",2030,"at or below zero",336.719515105548,336.719515105548
"77","CROP",2030,"above zero",163.193931647562,499.913446753109
"78","CROP",2035,"at or below zero",339.215099377309,339.215099377309
"79","CROP",2035,"above zero",156.692109688079,495.907209065388
"80","CROP",2040,"at or below zero",366.408506558921,366.408506558921
"81","CROP",2040,"above zero",129.313248648229,495.72175520715
"82","CROP",2045,"at or below zero",368.315409019987,368.315409019987
"83","CROP",2045,"above zero",129.469056252507,497.784465272495
