"","sector","year","price_group_ordered","total_mitigation_by_price_group","cumulative_reduction"
"49","ENERGY",2080,"above zero",1453.94800673722,1652.38846154534
"50","INDUSTRIAL",2020,"at or below zero",22.3078015245242,22.3078015245242
"51","INDUSTRIAL",2020,"above zero",390.094824882342,412.402626406866
"52","INDUSTRIAL",2025,"at or below zero",30.4024760797347,30.4024760797347
"53","INDUSTRIAL",2025,"above zero",426.587075716838,456.989551796573
"54","INDUSTRIAL",2030,"at or below zero",45.2852980533714,45.2852980533714
"55","INDUSTRIAL",2030,"above zero",506.343874562522,551.629172615893
"56","INDUSTRIAL",2035,"at or below zero",92.5084429252392,92.5084429252392
"57","INDUSTRIAL",2035,"above zero",635.237909081998,727.746352007238
"58","INDUSTRIAL",2040,"at or below zero",195.639757070363,195.639757070363
"59","INDUSTRIAL",2040,"above zero",791.583892586004,987.223649656368
"60","INDUSTRIAL",2045,"at or below zero",332.986532089171,332.986532089171
"61","INDUSTRIAL",2045,"above zero",818.975297572522,1151.96182966169
"62","INDUSTRIAL",2050,"at or below zero",462.885279765382,462.885279765382
"63","INDUSTRIAL",2050,"above zero",920.814893790883,1383.70017355626
"64","INDUSTRIAL",2055,"at or below zero",446.771906706727,446.771906706727
"65","INDUSTRIAL",2055,"above zero",1006.47424672569,1453.24615343241
"66","INDUSTRIAL",2060,"at or below zero",448.120000039009,448.120000039009
"67","INDUSTRIAL",2060,"above zero",1108.76128987287,1556.88128991188
"68","INDUSTRIAL",2065,"at or below zero",449.615078798578,449.615078798578
"69","INDUSTRIAL",2065,"above zero",1211.83343617907,1661.44851497764
"70","INDUSTRIAL",2070,"at or below zero",451.345039581947,451.345039581947
"71","INDUSTRIAL",2070,"above zero",1315.07022825956,1766.41526784151
"72","INDUSTRIAL",2075,"at or below zero",450.022749276623,450.022749276623
"73","INDUSTRIAL",2075,"above zero",1421.57601727422,1871.59876655084
"74","INDUSTRIAL",2080,"at or below zero",574.308366502418,574.308366502418
"75","INDUSTRIAL",2080,"above zero",1402.73514203448,1977.0435085369
"76","WASTE",2020,"at or below zero",169.988346663456,169.988346663456
"77","WASTE",2020,"above zero",665.29979588254,835.288142545996
"78","WASTE",2025,"at or below zero",186.685281880943,186.685281880943
"79","WASTE",2025,"above zero",742.685795218093,929.371077099036
"80","WASTE",2030,"at or below zero",210.396878578877,210.396878578877
"81","WASTE",2030,"above zero",834.796164643998,1045.19304322287
"82","WASTE",2035,"at or below zero",230.534153027975,230.534153027975
"83","WASTE",2035,"above zero",884.891054910299,1115.42520793827
"84","WASTE",2040,"at or below zero",247.290091262572,247.290091262572
"85","WASTE",2040,"above zero",933.504964379538,1180.79505564211
"86","WASTE",2045,"at or below zero",263.200618695146,263.200618695146
"87","WASTE",2045,"above zero",979.68382992255,1242.8844486177
"88","WASTE",2050,"at or below zero",281.510981470027,281.510981470027
"89","WASTE",2050,"above zero",1019.53155782352,1301.04253929354
"90","WASTE",2055,"at or below zero",14.7455772552975,14.7455772552975
"91","WASTE",2055,"above zero",1356.37440875547,1371.11998601076
"92","WASTE",2060,"at or below zero",316.75501420619,316.75501420619
"93","WASTE",2060,"above zero",1120.07974022605,1436.83475443224
"94","WASTE",2065,"at or below zero",16.0963861735268,16.0963861735268
"95","WASTE",2065,"above zero",1486.94468635743,1503.04107253096
"96","WASTE",2070,"at or below zero",351.693308650669,351.693308650669
"97","WASTE",2070,"above zero",1218.00068747199,1569.69399612266
"98","WASTE",2075,"at or below zero",17.4568583613915,17.4568583613915
"99","WASTE",2075,"above zero",1619.29523890305,1636.75209726444
"100","WASTE",2080,"at or below zero",388.250724864931,388.250724864931
"101","WASTE",2080,"above zero",1315.92643107401,1704.17715593894
